mp_id,full_name,club,mandate_status,district_number,okreg_nazwa,emails,image_url,wybrany_dnia,lista,liczba_glosow,slubowanie,staz_parlamentarny,data_urodzenia,miejsce_urodzenia,wyksztalcenie,ukonczona_szkola,zawod
109,Mariusz Gosek,PiS,aktywny,33,Kielce,Mariusz.Gosek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/CB531DBD5E4839ABC1258A51003B9CF4/$File/109.jpg,15-10-2023,Prawo i Sprawiedliwość,5309,13-11-2023,poseł na Sejm RP IX kadencji,20-08-1982,Kielce,wyższe,"Akademia Świętokrzyska, Wydział Pedagogiczny i Nauk o Zdrowiu, Pedagogika - magister (2005)",pedagog
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Kraków,Daria.Gosek-Popiolek@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C0B2B8A64FCA4972C1258A51003B9CF7/$File/110.jpg,,Nowa Lewica,39054,13-11-2023,poseł na Sejm RP IX kadencji,16-04-1985,Sosnowiec,wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Polonistyki, Teatrologia - magister sztuki (2009)",pracownik samorządowy
111,Małgorzata Gosiewska,PiS,wygasl,19,Warszawa,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EFB85E2B6C15FA76C1258A51003B9CFE/$File/111.jpg,,Prawo i Sprawiedliwość,36523,13-11-2023,"poseł na Sejm RP V, VII, VIII i IX kadencji",22-07-1966,Gdańsk,średnie ogólne,Liceum Ogólnokształcące w Czersku (1985),urzędnik państwowy
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Tarnów,Piotr.Gornikiewicz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/C690BECBC1C6C767C1258A51003B9D01/$File/112.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,5180,13-11-2023,brak,09-07-1972,Tarnów,wyższe,"Małopolska Wyższa Szkoła Ekonomiczna, Wydział Ekonomii, Zarządzanie Firmą - licencjat (2004) | Krakowska Szkoła Biznesu, Zarządzanie MBA (2021) - studia podyplomowe",ekonomista
113,Agnieszka Górska,PiS,aktywny,17,Radom,Agnieszka.Gorska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8488DA4935EB193AC1258A51003B9D05/$File/113.jpg,,Prawo i Sprawiedliwość,11494,13-11-2023,poseł na Sejm RP IX kadencji,01-01-1976,Skarżysko-Kamienna,wyższe,"Politechnika Radomska im K. Pułaskiego w Radomiu, Wydział Ekonomii - magister (2001)",ekonomista
114,Krzysztof Grabczuk,KO,aktywny,7,Chełm,Krzysztof.Grabczuk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8A39C5C2CE88F981C1258A51003B9D0C/$File/114.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,32985,13-11-2023,poseł na Sejm RP IX kadencji,22-04-1962,Sawin,wyższe,"Akademia Wychowania Fizycznego w Katowicach, Wydział Wychowania Fizycznego, Nauczyciel trener - magister (1991) | Akademia Wychowania Fizycznego w Poznaniu, Menedżer Sportu (1999) - studia podyplomowe | Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Zarządzania i Administracji (2004) - studia podyplomowe | Katolicki Uniwersytet Lubelski Jana Pawła II, Socjologia, Socjologia - doktor (2008)",nauczyciel akademicki
115,Jan Grabiec,KO,aktywny,20,Warszawa,Jan.Grabiec@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/E4009FEF0047E88DC1258A51003B9D10/$File/115.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,71534,13-11-2023,poseł na Sejm RP VIII i IX kadencji,02-11-1972,Legionowo,wyższe,"Wydział Filozofii, Etyka - magister (1996)",urzędnik państwowy
116,Marcin Grabowski,PiS,aktywny,18,Siedlce,Marcin.Grabowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EA722CA833662C42C1258A51003B9D15/$File/116.jpg,15-10-2023,Prawo i Sprawiedliwość,10339,13-11-2023,brak,06-04-1981,Ostrołęka,wyższe,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Ekonomia - magister (2009)",pracownik administracji państwowej
117,Michał Gramatyka,Polska2050-TD,aktywny,31,Katowice,Michal.Gramatyka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1308C1329F162834C1258A51003B9D1B/$File/117.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,32251,13-11-2023,poseł na Sejm RP IX kadencji,08-10-1971,Katowice,wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1999) | Uniwersytet Śląski, Wydział Prawa i Administracji, Nauki prawne - doktor (1999)",radca prawny
118,Małgorzata Gromadzka,KO,aktywny,7,Chełm,Malgorzata.Gromadzka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/ED181C74B1648554C1258A51003B9D22/$File/118.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,10710,13-11-2023,brak,24-03-1985,Tarnogród,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Prawo - magister (2014)",pracownik administracji samorządowej
119,Marek Gróbarczyk,PiS,aktywny,41,Szczecin,Marek.Grobarczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/93D48E14E47DDF28C1258A51003B9D26/$File/119.jpg,15-10-2023,Prawo i Sprawiedliwość,44422,13-11-2023,poseł na Sejm RP IX kadencji,13-03-1968,Nowy Sącz,wyższe,"Wyższa Szkoła Morska w Gdyni, Wydział Mechaniczny, Eksploatacja Siłowni Okrętowych - magister inżynier (1993) | Akademia Techniczno-Rolnicza w Bydgoszczy, Telekomunikacja Cyfrowa (1998) - studia podyplomowe",inżynier mechanik
120,Andrzej Grzyb,PSL-TD,aktywny,36,Kalisz,Andrzej.Grzyb@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/0814DADB7F9DCB88C1258A51003B9D2B/$File/120.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,29391,13-11-2023,"poseł na Sejm PRL X kadencji oraz na Sejm RP II, IV, V, VI i IX kadencji",23-08-1956,Siedlików,wyższe,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Ogrodniczy - magister inżynier (1981) | Wyższa Szkoła Bankowa w Poznaniu, Bankowość (2001) - studia podyplomowe | Uniwersytet Ekonomiczny w Poznaniu, Ekonomia - doktor (2018)","ekonomista, inżynier ogrodnik"
121,Andrzej Gut-Mostowy,PiS,aktywny,14,Nowy Sącz,Andrzej.Gut-Mostowy@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/443031D2BE4CF7AFC1258A51003B9D30/$File/121.jpg,15-10-2023,Prawo i Sprawiedliwość,16467,13-11-2023,"poseł na Sejm RP V, VI, VII i IX kadencji",30-10-1960,Zakopane,wyższe,"Uniwersytet Ekonomiczny, Wydział Ekonomii Obrotu, Gospodarka Turystyczna - magister (1986) | Uniwersytet Ekonomiczny, Gospodarka Regionalna (2003) - studia doktoranckie",ekonomista
122,Kazimierz Gwiazdowski,PiS,aktywny,24,Białystok,Kazimierz.Gwiazdowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6F14DBE5201528F4C1258A51003B9D34/$File/122.jpg,15-10-2023,Prawo i Sprawiedliwość,11898,13-11-2023,"poseł na Sejm RP V, VI, VIII i IX kadencji",10-06-1962,Radziłów,średnie zawodowe,"Technikum Melioracji Wodnych, Melioracja - technik (1982)",rolnik
123,Marcin Gwóźdź,PiS,aktywny,2,Wałbrzych,Marcin.Gwozdz@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5D7AE467AF209F61C1258A51003B9D39/$File/123.jpg,15-10-2023,Prawo i Sprawiedliwość,23434,13-11-2023,poseł na Sejm RP IX kadencji,14-12-1977,Ząbkowice Śl.,wyższe,"Politechnika Wrocławska, Wydział Mechaniczny, Mechanika i Budowa Maszyn - inżynier (2000) | Politechnika Poznańska, Wydział Zarządzania, Zarządzanie i Inżynieria Produkcji - magister (2007) | Uniwersytet Ekonomiczny, Finanse i Bankowość (2019) - studia podyplomowe",inżynier
124,Marek Gzik,KO,aktywny,29,Katowice,Marek.Gzik@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/9848BA03E481F692C1258A51003B9D3F/$File/124.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,19070,13-11-2023,brak,03-09-1971,Gliwice,wyższe,"Politechnika Śląska, Wydział Mechaniczny Technologiczny, Mechanika i Budowa Maszyn - magister inżynier (1996) | Politechnika Śląska, Mechanika, Specjalność Biomechanika - doktor nauk technicznych (2000) | - profesor nauk technicznych (2015) | Politechnika Śląska, Master of Business Administration MBA w ""Ochronie Zdrowia"" (2022) - studia podyplomowe",nauczyciel akademicki
125,Krzysztof Habura,KO,aktywny,11,Sieradz,Krzysztof.Habura@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/381E0DA10E32AE95C1258A51003B9D44/$File/125.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,11267,13-11-2023,brak,02-06-1956,Pabianice,wyższe,"Politechnika Łódzka, Wydział Budownictwa i Architektury, Konstrukcje Budowlane i Inżynierskie - magister inżynier (1980) | Uniwersytet Łódzki, Zarządzanie w JST (2009) - studia podyplomowe | Uniwersytet Łódzki, Prawo Spółek Handlowych (2012) - studia podyplomowe",inżynier budownictwa
126,Agnieszka Hanajczyk,KO,aktywny,11,Sieradz,Agnieszka.Hanajczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D58275752982E3EEC1258A51003B9D47/$File/126.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,16865,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",12-01-1963,Zgierz,wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1987) | Uniwersytet Łódzki, Pomoc Społeczna (1995) - studia podyplomowe | Uniwersytet Łódzki, Organizacja Pomocy Społecznej (1999) - studia podyplomowe",prawnik
127,Iwona Hartwich,KO,aktywny,5,Toruń,Iwona.Hartwich@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/E62AF340C31BAB0BC1258A51003B9D4C/$File/127.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,17889,13-11-2023,poseł na Sejm RP IX kadencji,06-09-1970,Rypin,średnie ogólne,"Zespół Szkół Ekonomicznych w Toruniu, Sprzedawca (1988) | Liceum Ogólnokształcące w Toruniu (2022)",sprzedawca
128,Paulina Hennig-Kloska,Polska2050-TD,aktywny,37,Konin,Paulina.Hennig-Kloska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/7FA1BFE5B9219648C1258A51003B9D52/$File/128.jpg,,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,30334,13-11-2023,poseł na Sejm RP VIII i IX kadencji,05-10-1977,Gniezno,wyższe,"Szkoła Wyższa im. Pawła Włodkowica w Płocku, Wydział Politologii, Politologia i Nauki Społeczne - licencjat (1999) | Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Politologia - magister (2001) | Akademia Ekonomiczna w Poznaniu, Analiza Finansowa i Controlling (2005) - studia podyplomowe","bankowiec, dziennikarz, ekonomista"
129,Krzysztof Hetman,PSL-TD,wygasl,6,Lublin,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/EDD7217622360FC7C1258A51003B9D58/$File/129.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,28876,13-11-2023,brak,27-06-1974,Lublin,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Politologia - magister (1998) | Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie, Zarządzanie w Administracji i Samorządzie Terytorialnym (2002) - studia podyplomowe",politolog
130,Czesław Hoc,PiS,aktywny,40,Koszalin,Czeslaw.Hoc@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/410C5B497532FA93C1258A51003B9D5D/$File/130.jpg,15-10-2023,Prawo i Sprawiedliwość,31360,13-11-2023,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",22-02-1954,Jelenin,wyższe,"Pomorska Akademia Medyczna, Wydział Lekarski - lekarz (1979)",lekarz
131,Zbigniew Hoffmann,PiS,aktywny,37,Konin,Zbigniew.Hoffmann@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B9FF4E0240886E82C1258A51003B9D62/$File/131.jpg,15-10-2023,Prawo i Sprawiedliwość,47594,13-11-2023,poseł na Sejm RP IX kadencji,05-07-1963,Poznań,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Nauki Polityczne - magister (1990)",politolog
132,Marek Tomasz Hok,KO,aktywny,40,Koszalin,Marek.Hok@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/943C08D2E41015B1C1258A51003B9D65/$File/132.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,8176,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",15-06-1953,Koszalin,wyższe,"Pomorski Uniwersytet Medyczny, Wydział Lekarski - lekarz (1978) | Szkoła Główna Handlowa w Warszawie, Zarządzanie Zakładami Opieki Zdrowotnej (2005) - studia podyplomowe | Wyższa Szkoła Bankowa w Poznaniu, Akademia Liderów Samorządowych (2010) - studia podyplomowe","lekarz, parlamentarzysta, urzędnik samorządowy"
133,Szymon Hołownia,Polska2050-TD,aktywny,24,Białystok,Szymon.Holownia@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D80BB954BF78E0CDC1258A51003B9D69/$File/133.jpg,15-10-2023,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,79951,13-11-2023,brak,03-09-1976,Białystok,średnie ogólne,,"polityk, publicysta"
134,Marcin Horała,PiS,aktywny,26,Słupsk,Marcin.Horala@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/53DF8AAA9987FE27C1258A51003B9D70/$File/134.jpg,15-10-2023,Prawo i Sprawiedliwość,47974,13-11-2023,poseł na Sejm RP VIII i IX kadencji,02-10-1981,Gdańsk,wyższe,"Uniwersytet Gdański, Wydział Nauk Społecznych, Politologia - magister (2004) | Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2006)","prawnik, specjalista ds. zarządzania, wyższy urzędnik państwowy"
135,Łukasz Horbatowski,KO,aktywny,1,Legnica,Lukasz.Horbatowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/3DBD7DAF89886BAEC1258A51003B9D76/$File/135.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,13934,13-11-2023,brak,14-05-1980,Głogów,wyższe,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomii, Zarządzanie i Marketing - magister (2007) | Wrocławska Akademia Biznesu w Naukach Stosowanych, MBA Master in Business Administration (2020) - studia podyplomowe",pracownik samorządowy
136,Paweł Hreniak,PiS,aktywny,3,Wrocław,Pawel.Hreniak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/3F87F96BD46387EAC1258A51003B9D79/$File/136.jpg,15-10-2023,Prawo i Sprawiedliwość,19384,13-11-2023,poseł na Sejm RP IX kadencji,09-09-1979,Wrocław,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Administracja Publiczna - magister (2004) | Uniwersytet Ekonomiczny we Wrocławiu, Zarządzanie Jednostkami Opieki Zdrowotnej (2009) - studia podyplomowe | Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Ekonomia Menedżerska - magister (2010) | Uniwersytet Ekonomiczny we Wrocławiu, Praktyka Zarządzania Projektami Unijnymi (2011) - studia podyplomowe | Akademia Pożarnicza w Warszawie, Ochrona ludności, obrona cywilna i zarządzanie kryzysowe (2025) - studia podyplomowe",urzędnik państwowy
137,Paweł Jabłoński,PiS,aktywny,30,Bielsko-Biała,Pawel.Jablonski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B612778B9F285013C1258A51003B9D7E/$File/137.jpg,15-10-2023,Prawo i Sprawiedliwość,22996,13-11-2023,brak,25-01-1986,Opole,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2010)",adwokat
138,Klaudia Jachira,KO,aktywny,19,Warszawa,Klaudia.Jachira@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/2095612A64CDA22AC1258A51003B9D84/$File/138.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,9172,13-11-2023,poseł na Sejm RP IX kadencji,31-05-1988,Wrocław,wyższe,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Lalkarski, Aktorstwo - magister sztuki (2013)",aktorka
139,Marek Jakubiak,Republikanie,aktywny,19,Warszawa,Marek.Jakubiak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/2DFBF3852DF12CC8C1258A51003B9D89/$File/139.jpg,15-10-2023,Prawo i Sprawiedliwość,39151,13-11-2023,poseł na Sejm RP VIII kadencji,30-04-1959,Warszawa,średnie policealne/pomaturalne,"Szkoła Chorążych, Lotnictwo, Eksploatacja Samolotu - technik (1980) | Policealne Studium Zawodowe, Organizacja Pracy Kulturalno-Oświatowej (1987)",przedsiębiorca prywatny
140,Maria Małgorzata Janyska,KO,aktywny,38,Piła,Maria.Janyska@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1C4847E7AFD4C623C1258A51003B9D8D/$File/140.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,23592,13-11-2023,"poseł na Sejm RP VII, VIII i IX kadencji",16-01-1962,Wyrzysk,wyższe,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Ekonomika i Organizacja Obrotu Towarowego i Usług - magister (1985) | Uniwersytet im. Adama Mickiewicza w Poznaniu, Samorząd Terytorialny (1992) - studia podyplomowe | Uniwersytet Ekonomiczny w Poznaniu, Rachunkowość (2009) - studia podyplomowe",ekonomista
141,Michał Jaros,KO,aktywny,3,Wrocław,Michal.Jaros@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6B020212A5F923B0C1258A51003B9D92/$File/141.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,30512,13-11-2023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",26-01-1981,Aleksandrów Kujawski,wyższe,"Akademia Ekonomiczna we Wrocławiu, Wydział Inżynieryjno-Ekonomiczny, Zarządzanie i Inżynieria Produkcji - magister inżynier (2006)",ekonomista
142,Patryk Jaskulski,KO,aktywny,41,Szczecin,Patryk.Jaskulski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/2D98280CF8C377BDC1258A51003B9D97/$File/142.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,7439,13-11-2023,brak,18-08-1990,Szczecin,wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia - magister (2014) | Wyższa Szkoła Bankowa w Poznaniu, Wydział ekonomiczny w Szczecinie, Zarządzanie - magister (2017)",politolog
143,Danuta Jazłowiecka,KO,aktywny,21,Opole,Danuta.Jazlowiecka@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/58C3AC3FF63D7D6CC1258A51003B9D9D/$File/143.jpg,,Koalicja Obywatelska PO .N IPL ZIELONI,11580,13-11-2023,poseł na Sejm RP V i VI kadencji,19-05-1957,Opole,wyższe,"Wyższa Szkoła Inżynieryjna w Opolu, Wydział Budownictwa Lądowego, Technologia i organizacja Pracy - inżynier (1983) | University of Wisconsin, USA, Bachelor of Science of Art - Business Administration (1996) - studia podyplomowe",polityk
144,Dariusz Joński,KO,wygasl,9,Łódź,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A17870F5FDF50325C1258A51003B9DA2/$File/144.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,87470,13-11-2023,poseł na Sejm RP VII i IX kadencji,12-01-1979,Łódź,wyższe,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, Ekonomista - magister (2003) | Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo Finansowe i Gospodarcze (2004) - studia podyplomowe",ekonomista
145,Marcin Józefaciuk,KO,aktywny,9,Łódź,Marcin.Jozefaciuk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/6DF43C5AA6C4E71EC1258A51003B9DA6/$File/145.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,8893,13-11-2023,brak,17-10-1982,Łódź,wyższe,"Wyższa Szkoła Humanistyczno-Ekonomiczna w Łodzi, Wydział Humanistyczny, Filologia Angielska specjalizacja metodyczna - magister (2008) | Wyższa Szkoła Informatyki w Łodzi, Nauczanie informatyki (2012) - studia podyplomowe | Wyższa Szkoła Informatyki w Łodzi, Nauczanie wychowania fizycznego (2012) - studia podyplomowe | Akademia Humanistyczno-Ekonomiczna w Łodzi, Zarządzanie Oświatą (2014) - studia podyplomowe",nauczyciel
146,Norbert Jakub Kaczmarczyk,PiS,aktywny,15,Tarnów,Norbert.Kaczmarczyk@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/B32AEA936AD4F605C1258A51003B9DAB/$File/146.jpg,15-10-2023,Prawo i Sprawiedliwość,11926,13-11-2023,poseł na Sejm RP VIII i IX kadencji,16-11-1989,Proszowice,wyższe,"Zespół Szkół im. Emila Godlewskiego w Piotrkowicach Małych, Policealne Studium Rolnicze, Rynek Rolny - technik (2013) | Krakowska Akademia im. Andrzeja Frycza Modrzewskiego, Wydział Prawa, Administracji i Stosunków Międzynarodowych, Politologia - Komunikacja Społeczna - magister (2013)","dziennikarz, parlamentarzysta, politolog, rolnik"
147,Filip Kaczyński,PiS,aktywny,12,Kraków,Filip.Kaczynski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/4F743440F4E83E1CC1258A51003B9DAE/$File/147.jpg,15-10-2023,Prawo i Sprawiedliwość,18285,13-11-2023,poseł na Sejm RP VII i IX kadencji,19-11-1987,Sucha Beskidzka,wyższe,"Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej, Wydział Nauk Społecznych, Politologia - licencjat (2010) | Wyższa Szkoła Biznesu - National Louis University w Nowym Sączu, Master of Business Administration MBA (2021) - studia podyplomowe",politolog
148,Jarosław Kaczyński,PiS,aktywny,33,Kielce,Jaroslaw.Kaczynski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/5490C443EC8E1C8FC1258A51003B9DB6/$File/148.jpg,15-10-2023,Prawo i Sprawiedliwość,177228,13-11-2023,"poseł na Sejm RP I, III, IV, V, VI, VII, VIII i IX kadencji, senator I kadencji",18-06-1949,Warszawa,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji - magister (1971) | Uniwersytet Warszawski, Nauki Prawne - doktor (1976)",prawnik
149,Piotr Kaleta,PiS,aktywny,36,Kalisz,Piotr.Kaleta@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/28D91566D8C2A31FC1258A51003B9DBB/$File/149.jpg,15-10-2023,Prawo i Sprawiedliwość,16344,13-11-2023,"poseł na Sejm RP VIII i IX kadencji, senator VII kadencji",25-06-1968,Kalisz,wyższe,"Wyższa Szkoła Kadr Menedżerskich w Koninie, Wydział Administracji, Administracja Publiczna - licencjat (2018)",parlamentarzysta
150,Sebastian Kaleta,PiS,aktywny,19,Warszawa,Sebastian.Kaleta@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/80C3D2714C16E0A3C1258A51003B9DBF/$File/150.jpg,15-10-2023,Prawo i Sprawiedliwość,31369,13-11-2023,poseł na Sejm RP IX kadencji,29-07-1989,Siedliszcze,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2013)",radca prawny
151,Mariusz Kałużny,PiS,aktywny,5,Toruń,Mariusz.Kaluzny@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/1B14E3B5B485EA6CC1258A51003B9DC4/$File/151.jpg,15-10-2023,Prawo i Sprawiedliwość,19072,13-11-2023,poseł na Sejm RP IX kadencji,10-08-1986,Toruń,wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Teologii - magister (2011) | Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Politologii i Stosunków Międzynarodowych - magister (2015) | Wyższa Szkoła Finansów i Zarządzania w Warszawie, Master of Business Administration (2018) - studia podyplomowe",politolog
152,Mariusz Kamiński,PiS,wygasl,7,Chełm,,https://orka.sejm.gov.pl/Poslowie10.nsf/0/A38C176C9BCCD957C1258A51003B9DC9/$File/152.jpg,15-10-2023,Prawo i Sprawiedliwość,44195,13-11-2023,"poseł na Sejm RP III, IV, V, VII, VIII i IX kadencji",25-09-1965,Sochaczew,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1990)",historyk
153,Piotr Kandyba,KO,aktywny,20,Warszawa,Piotr.Kandyba@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/D0880D5E99E91B73C1258A51003B9DCD/$File/153.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,15144,13-11-2023,brak,13-10-1969,Dobra,wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Technologii Żywności, Technologia Mleczarska - magister inżynier (1994) | Szkoła Główna Handlowa w Warszawie, MBA in Minnesota University (2002) - studia podyplomowe",menedżer
154,Jan Kanthak,PiS,aktywny,6,Lublin,Jan.Kanthak@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/8101A04BAF69398BC1258A51003B9DD2/$File/154.jpg,15-10-2023,Prawo i Sprawiedliwość,22037,13-11-2023,poseł na Sejm RP IX kadencji,20-09-1991,Gdańsk,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2015)",prawnik
155,Fryderyk Sylwester Kapinos,PiS,aktywny,23,Rzeszów,Fryderyk.Kapinos@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/F531ED7973C47675C1258A51003B9DD7/$File/155.jpg,15-10-2023,Prawo i Sprawiedliwość,18065,13-11-2023,poseł na Sejm RP IX kadencji,31-12-1961,Mielec,wyższe,"Akademia Rolnicza w Krakowie, Wydział Rolniczy Oddział Technologii Żywności, Technologia Żywności - magister inżynier (1986)",technolog żywności
156,Jacek Karnowski,KO,aktywny,25,Gdańsk,Jacek.Karnowski@sejm.pl,https://orka.sejm.gov.pl/Poslowie10.nsf/0/800DA48DE34B45A5C1258A51003B9DDC/$File/156.jpg,15-10-2023,Koalicja Obywatelska PO .N IPL ZIELONI,55069,13-11-2023,brak,16-08-1963,Gdańsk,wyższe,"Politechnika Gdańska, Wydział Budownictwa Lądowego, Konstrukcje Inżynierskie - magister inżynier (1988) | Uniwersytet Gdański, Finanse - doktor (2007)","ekonomista, inżynier budownictwa"
